system:time_start,pdsi,spei1y
"Sep 1, 2004",1.152,0.263
"Oct 1, 2004",1.311,0.346
"May 1, 2005",-1.821,0.307
"Jun 1, 2005",-1.467,0.175
"Jul 1, 2005",-1.815,0.187
"Aug 1, 2005",-2.132,-0.065
"Sep 1, 2005",-2.378,-0.391
"Oct 1, 2005",-1.966,-0.263
"May 1, 2006",1.706,0.328
"Jun 1, 2006",1.949,0.53
"Jul 1, 2006",2.27,0.495
"Aug 1, 2006",2.062,0.503
"Sep 1, 2006",1.586,0.462
"Oct 1, 2006",1.028,0.156
"May 1, 2007",-2.097,-1.046
"Jun 1, 2007",-2.558,-1.754
"Jul 1, 2007",-2.763,-1.766
"Aug 1, 2007",-2.937,-1.322
"Sep 1, 2007",-2.712,-1.077
"Oct 1, 2007",-2.299,-0.715
"May 1, 2008",-2.525,-0.566
"Jun 1, 2008",-2.434,-0.294
"Jul 1, 2008",-2.622,-0.4
"Aug 1, 2008",-2.745,-0.366
"Sep 1, 2008",-2.577,-0.423
"Oct 1, 2008",-2.658,-0.759
"May 1, 2009",-3.698,-1.405
"Jun 1, 2009",-3.772,-1.522
"Jul 1, 2009",-3.683,-1.165
"Aug 1, 2009",-3.801,-1.101
"Sep 1, 2009",-3.678,-1.279
"Oct 1, 2009",-3.502,-1.175
"May 1, 2010",-2.3,-0.255
"Jun 1, 2010",-1.536,0.275
"Jul 1, 2010",-0.937,0.357
"Aug 1, 2010",-1.017,0.26
"Sep 1, 2010",-1.082,0.444
"Oct 1, 2010",-0.193,0.48
"May 1, 2011",2.684,1.349
"Jun 1, 2011",3.146,1.01
"Jul 1, 2011",3.34,1.118
"Aug 1, 2011",3.436,1.278
"Sep 1, 2011",3.022,0.993
"Oct 1, 2011",2.408,0.835
"May 1, 2012",-1.355,-0.173
"Jun 1, 2012",-1.414,-0.286
"Jul 1, 2012",-1.03,-0.272
"Aug 1, 2012",-1.182,-0.551
"Sep 1, 2012",-1.581,-0.582
"Oct 1, 2012",-1.921,-0.614
"May 1, 2013",-2.316,-0.742
"Jun 1, 2013",-2.28,-0.782
"Jul 1, 2013",-1.78,-0.658
"Aug 1, 2013",-1.694,-0.508
"Sep 1, 2013",-1.32,-0.132
"Oct 1, 2013",1.063,0.439
"May 1, 2014",0.517,0.678
"Jun 1, 2014",-0.513,0.378
"Jul 1, 2014",-1.169,0.235
"Aug 1, 2014",-1.164,0.256
"Sep 1, 2014",-0.86,0.18
"Oct 1, 2014",-1.002,-0.386
"May 1, 2015",-1.45,-0.548
"Jun 1, 2015",-1.526,-0.45
"Jul 1, 2015",-2.009,-0.698
"Aug 1, 2015",-2.034,-0.703
"Sep 1, 2015",-2.076,-0.709
"Oct 1, 2015",-2.069,-0.86
"May 1, 2016",0.928,-0.281
"Jun 1, 2016",0.805,-0.075
"Jul 1, 2016",0.854,0.22
"Aug 1, 2016",0.806,0.184
"Sep 1, 2016",0.427,0.128
"Oct 1, 2016",0.305,0.339
"May 1, 2017",2.799,0.698
"Jun 1, 2017",2.484,0.698
"Jul 1, 2017",2.02,0.478
"Aug 1, 2017",1.501,0.33
"Sep 1, 2017",1.053,0.301
"Oct 1, 2017",0.969,0.19
"May 1, 2018",-2.077,-1.968
"Jun 1, 2018",-2.755,-1.835
"Jul 1, 2018",-3.419,-1.675
"Aug 1, 2018",-3.738,-1.385
"Sep 1, 2018",-3.83,-1.418
"Oct 1, 2018",-3.68,-1.605
"May 1, 2019",1.758,-0.041
"Jun 1, 2019",2.44,0.126
"Jul 1, 2019",2.39,0.249
"Aug 1, 2019",2.246,0.413
"Sep 1, 2019",2.503,0.541
"Oct 1, 2019",2.701,0.586
"May 1, 2020",-3.538,-1.327
"Jun 1, 2020",-3.497,-1.044
"Jul 1, 2020",-3.465,-0.903
"Aug 1, 2020",-3.62,-1.005
"Sep 1, 2020",-3.71,-1.537
"Oct 1, 2020",-3.746,-1.986
"May 1, 2021",-5.035,-2.09
"Jun 1, 2021",-5.543,-2.09
"Jul 1, 2021",-5.968,-2.09
"Aug 1, 2021",-5.982,-2.09
"Sep 1, 2021",-5.654,-2.089
"Oct 1, 2021",-4.97,-2.09
"May 1, 2022",-4.204,-1.886
"Jun 1, 2022",-3.603,-0.489
"Jul 1, 2022",-3.145,-0.085
"Aug 1, 2022",-3.23,-0.218
"Sep 1, 2022",-3.263,-0.382
"Oct 1, 2022",-3.394,-0.672
"May 1, 2023",-2.544,-0.244
"Jun 1, 2023",-2.502,-1.48
"Jul 1, 2023",-3.133,-1.84
"Aug 1, 2023",-3.377,-1.479
"Sep 1, 2023",-3.149,-1.045
"Oct 1, 2023",-2.275,-0.418
"May 1, 2024",-0.316,-0.12
"Jun 1, 2024",-0.58,-0.062
"Jul 1, 2024",-1.404,-0.106
"Aug 1, 2024",-1.722,-0.098
"Sep 1, 2024",-1.696,-0.156
"Oct 1, 2024",-2.02,-0.658
